word,count,pos,neg
pancho,305,186,54
celebratori,431,304,75
pois,150,83,52
hygien,686,141,444
batter,13454,7859,2833
gutter,101,55,31
relationship,1214,655,296
olio,121,80,26
wider,542,330,72
neighborhood,20187,14663,2565
reimburs,222,49,154
pmpm,535,405,53
satisfyingli,123,96,7
thrifti,268,200,28
saucey,161,100,29
outstandingli,119,90,15
front,48517,23951,16396
preval,222,134,36
aurait,119,44,42
minus,125,58,27
cancel,3635,695,2574
wonki,127,61,28
feasibl,126,71,31
fisherman,265,179,38
cheapskat,212,89,86
ambiti,302,185,56
wayn,366,270,37
serviceif,134,88,31
seiner,178,116,41
site,4752,2707,1343
wang,139,83,21
margarin,211,50,114
zinc,244,159,57
elot,588,444,65
similar,17014,9344,3637
reluctantli,727,225,400
degust,223,187,18
quattro,324,226,49
past,36859,19482,11039
ultim,4383,2523,1001
bref,332,190,74
teacup,115,57,31
taco,112512,72647,22137
ort,232,164,39
hastili,227,56,131
overwhelmingli,1002,556,217
space,31009,20001,4615
wiseguy,175,125,16
franktuari,143,85,31
asst,101,41,53
regular,52873,34024,9668
undoubtedli,601,432,89
child,4912,2278,1886
categor,320,178,73
tonic,1242,768,262
rhubarb,682,518,59
panzanella,164,122,16
wacki,251,163,47
posit,14179,5816,5884
lastli,3508,2022,945
februari,933,567,215
cred,139,92,25
cheeto,102,69,19
takoyaki,1370,903,157
eleven,674,427,152
orchestr,135,108,14
welloil,102,74,7
ghanouj,151,113,17
astonish,499,277,170
timew,522,324,113
settl,7349,3952,1880
terrifi,253,106,99
stein,300,216,26
paddl,372,236,61
elev,4659,2857,971
hill,6797,3388,2367
focu,3799,2203,883
freaki,336,188,110
shannon,301,229,53
dump,3761,1024,2159
vow,710,309,334
lvh,293,125,110
rosa,911,662,148
unconcern,112,7,92
balanc,13184,10334,1069
cesar,1937,1156,444
elimin,587,280,180
peppermil,645,501,73
itjust,140,66,34
slop,853,176,585
rectangl,219,137,36
origin,23974,14853,5079
hadmi,107,68,24
eyelash,146,69,57
foo,1136,712,256
ds,989,588,222
bisschen,385,198,71
ownership,2429,1088,1038
chicharron,431,324,38
vibrat,200,100,49
glanc,2873,1464,925
indoor,4856,3492,519
sawdust,156,47,81
parma,943,677,119
bastard,728,379,228
goodgreat,191,141,16
buffeti,181,89,43
spike,1054,737,148
lovei,113,101,5
joey,1181,715,249
teas,617,413,89
offnight,105,24,49
mignonett,229,167,15
stallion,145,121,11
stainless,406,250,78
treasur,2264,1789,237
hangov,3548,2630,334
y,350,243,63
invest,1461,670,500
weed,624,244,269
veer,213,141,30
sideway,249,97,100
margaritavil,389,187,109
chewi,15282,7648,4471
snail,828,455,227
inexpens,7271,5392,681
browni,6738,4727,921
prestigi,130,85,26
receptionist,393,135,206
ooh,431,313,47
cheesey,415,277,63
tokyo,1724,1280,220
listi,106,76,15
luft,206,108,51
approxim,2320,1014,894
hesh,333,132,151
plant,1902,1269,333
cat,2403,1371,623
bestellen,615,311,202
stix,186,90,58
taj,524,369,82
yummm,538,484,10
omit,518,256,157
coupon,15067,6531,5720
funi,136,100,13
novic,368,247,60
vinegarett,219,132,40
biet,543,328,81
echt,879,563,191
midtown,491,336,67
oi,102,68,21
gran,224,153,33
beginn,322,210,56
behav,725,323,310
lt,284,180,46
crane,238,140,45
aokay,209,54,21
sleeper,106,71,21
opinion,20043,10759,4523
schmeckt,1253,731,299
roast,34292,24879,4249
blush,225,159,32
loan,171,99,43
halfful,187,74,73
andi,1099,869,109
photo,8584,5178,1930
blank,884,256,479
boylan,140,99,14
akin,660,342,174
scout,319,211,73
pinappl,120,79,21
upholsteri,110,53,31
rau,115,53,34
look,264279,140755,76459
earth,4032,2923,645
chomp,357,204,83
uneven,707,231,258
insight,399,279,59
help,83472,55837,16210
afraid,4168,2512,1076
mini,10620,7229,1505
leastth,110,56,37
besond,846,545,122
chompi,800,438,233
crust,39684,26575,6567
bibimbap,2628,1820,291
shortstaf,167,53,84
grate,2882,1935,507
minion,228,148,46
spank,488,331,58
diagnos,123,83,29
buffalo,12592,7936,2431
timeli,114,64,24
herew,615,350,166
class,7500,5087,1448
vegasthi,128,96,14
minor,3740,2516,600
hahath,145,118,9
hhnchen,151,80,42
fuego,527,405,56
mashup,140,95,18
mittlerweil,183,97,53
premium,4194,2312,1010
spatula,195,71,90
larg,93445,60179,15535
lust,380,247,65
brasa,175,116,30
colon,104,52,33
verschiedenen,290,203,39
ludicr,166,60,72
kohl,137,100,17
lindsey,237,203,15
deck,2278,1460,342
hometown,1613,1060,331
espresso,6803,4927,870
jowl,147,111,16
recollect,198,109,46
pdc,137,100,13
caraway,111,87,11
elizabeth,470,359,62
disinterest,713,109,439
raffl,307,185,66
inabl,298,89,166
float,3550,1893,1057
craze,428,259,70
water,74362,31479,29723
barley,1102,623,306
takehom,126,85,20
text,3548,1718,1293
assign,1143,481,412
ein,19903,11751,4408
troubl,5486,2720,1816
checkout,939,415,338
nate,345,268,39
threecours,168,119,16
muchth,348,175,95
than,394,215,103
crappi,5196,1410,3084
dud,244,122,79
brick,4392,3002,684
form,6993,4112,1682
panko,1097,728,166
nypd,458,303,102
suckl,337,237,39
snicker,618,404,136
sand,1611,799,503
pea,7122,4571,1240
backsid,181,102,44
daikon,834,611,78
sick,10517,2732,6567
lor,196,140,18
fingerlick,103,96,1
pirogi,171,125,19
laugh,7422,3351,3031
priorit,155,48,68
doughi,2724,1281,897
contrapt,166,105,25
singha,129,104,12
disgust,12649,1015,10602
leas,348,166,139
palat,5344,3527,968
enquir,114,35,64
sitdown,1676,1039,246
jon,462,333,82
babbo,291,162,78
dive,7292,4470,1511
asia,1474,873,295
omlet,464,278,108
isi,317,194,70
bitten,231,89,100
illumin,256,177,41
grape,3728,2613,533
mc,761,338,313
goodjust,125,71,19
own,18275,13155,2783
whileth,116,57,28
branzino,552,387,65
swift,501,355,52
saliva,101,33,46
dimanch,169,132,13
specialth,362,157,97
ronni,150,105,30
pacman,104,68,12
habit,2055,1352,371
kee,900,625,115
further,1725,1133,407
whip,8637,5909,1359
keg,2440,1471,566
overeasi,334,217,67
monopoli,166,77,52
barbi,274,175,55
rol,192,100,48
conflict,594,264,159
swing,1999,1351,329
softli,267,187,36
gelati,102,81,8
aussicht,169,108,33
doorway,469,207,164
sportsbar,112,55,30
schmeckten,127,48,52
roughi,148,95,30
slender,101,58,24
focal,198,126,26
sayth,158,95,37
fool,5016,3134,1393
fettucini,333,203,60
juic,21942,14487,4025
sy,169,120,20
dissuad,255,164,53
ahhhh,281,204,37
antibiot,213,135,41
silk,453,321,56
cripsi,182,125,22
sheppard,402,208,80
basketbal,1056,596,280
outth,1018,528,250
shamelessli,130,84,25
extrem,48600,26931,14998
creepi,1375,561,489
doner,353,249,49
rosedal,109,79,12
danforth,1204,737,236
moscow,1249,929,165
sensat,1181,919,107
sunk,192,87,70
felafel,199,103,70
maggiano,743,477,169
macchiato,478,352,56
spectacularli,183,119,28
ichiban,439,270,99
longtemp,149,98,20
cousin,4580,2827,1005
lurk,253,113,79
tagen,123,76,18
tripa,369,306,24
grassi,192,142,22
enoteca,262,174,39
decidedli,528,241,159
feast,3309,2412,427
mommi,328,213,69
tard,171,94,44
appetis,350,194,75
aim,1573,980,229
restaur,438962,259810,108324
differenti,653,324,159
cabo,895,527,208
delici,274813,240113,11081
bumpin,101,71,10
compact,362,245,55
zillion,194,126,32
creamer,670,343,225
urg,1662,960,399
portabello,572,389,85
consult,647,322,224
earliest,155,98,29
vinni,406,324,51
gleam,161,108,26
key,7168,4810,1268
inspect,1235,346,709
halfhalf,129,100,13
freeth,110,69,13
mercado,151,117,20
overkil,554,281,106
token,609,279,195
gnstig,370,257,49
saw,41845,19799,14919
ploy,150,59,57
bacchu,186,136,26
hesitantli,133,44,64
pointi,186,108,46
tischen,286,165,48
yearsi,133,82,33
natto,168,119,16
hausgemacht,171,135,16
suicid,454,299,79
ordeal,544,129,343
macn,117,79,17
tastei,310,160,77
creativ,11600,8903,1054
ninja,586,426,75
conserv,546,348,92
rule,4573,2092,1678
piada,163,101,33
paar,757,392,193
wifey,874,603,117
dun,837,509,138
looong,143,77,38
candlelight,209,159,9
drink,258037,139027,72089
thrill,4149,2699,698
her,11140,4524,4885
strategi,479,242,136
nut,8472,6048,1200
sunglass,299,157,93
appreci,22965,14962,3922
utensil,3648,1390,1572
ichi,107,54,26
mantra,160,85,37
puni,254,68,117
challah,664,527,56
contr,468,243,58
procedur,401,121,209
chile,9154,6513,1308
sbarro,248,64,106
idiot,2066,565,1273
encanto,144,81,36
astonishingli,114,61,36
bucatini,339,227,46
grade,3069,1327,1084
lee,2495,1634,471
arena,678,415,119
nitpick,340,250,33
cent,5679,2624,2001
bok,1509,963,248
inni,130,96,6
wilder,142,97,22
duh,1090,667,244
el,7484,4961,1445
hb,154,96,34
congrat,300,223,56
coff,214,138,54
kneader,296,149,107
bonita,149,119,16
sate,481,332,71
funer,206,95,78
cusin,194,141,29
wurden,1731,936,507
slept,311,170,98
equal,9426,6451,1835
beij,608,385,116
premis,1101,659,260
glitzi,111,81,10
xtreme,125,60,49
radiu,688,362,202
neighbour,668,381,132
drauf,218,87,81
unter,776,421,194
marker,305,151,100
pursu,144,65,55
pretenti,4164,2467,1075
slack,971,422,328
brutta,127,97,18
ensuit,129,82,22
barg,229,129,57
pronunci,141,76,41
la,73113,51527,11112
pricetag,136,83,21
ton,22880,15544,3559
juici,26377,21002,1711
walk,115973,57375,41440
hollandais,3571,2245,650
assault,363,132,184
leftth,162,55,78
notsogood,159,58,49
tire,7692,3959,2276
bounci,219,150,33
dtlv,188,149,9
vite,176,118,20
caught,5589,3023,1546
harri,2007,1136,443
hotpot,999,594,165
parch,199,90,71
conge,3128,1752,591
fhlt,254,202,26
hi,3974,2107,1304
jonathan,337,255,65
timethi,219,145,45
deswegen,142,78,30
brian,1184,939,154
circuit,135,90,26
abomin,249,56,168
poser,138,63,42
tape,752,284,331
confid,2220,1427,506
admiss,719,397,202
dubiou,172,102,41
reorder,842,320,375
teach,1250,580,474
vocal,254,129,75
elect,522,283,135
moni,188,115,45
pupusa,1593,1184,213
bacardi,154,92,33
mitt,167,86,50
lui,591,372,140
belliger,184,54,113
intercom,167,40,97
motley,129,86,20
trifecta,672,593,38
quantit,231,135,26
via,3900,2349,970
awesomei,442,384,20
dhote,141,98,17
loooong,237,127,59
currywurst,234,154,35
embodi,208,152,25
potion,440,290,70
donei,167,96,47
inject,202,120,43
venu,8242,5137,1586
exceedingli,417,243,110
asian,28778,17537,5581
graviti,113,61,32
airway,164,104,26
mo,828,585,139
wynn,5677,3477,1135
une,6479,4342,823
strudel,469,360,35
grass,2544,1749,377
nicest,2769,2230,278
travesti,239,70,135
cosi,1212,978,63
foe,114,82,21
lakesid,240,140,57
encor,1637,1099,286
edamam,4811,3126,881
crudo,738,577,62
rosati,820,384,351
kent,550,373,94
engin,540,328,117
nuevo,107,61,26
sizei,105,61,18
raita,431,288,65
crummi,252,84,126
carib,193,136,22
digit,520,300,119
slouch,122,84,26
oversp,101,32,52
chinatown,4648,2893,758
karla,105,97,6
tutti,222,153,40
ooz,1610,1066,316
torta,3514,2580,462
soyo,211,155,33
boss,3332,1747,1095
itiv,188,140,24
lose,6084,2681,2223
baysid,114,49,34
connoisseur,1996,1486,222
atop,1915,1344,252
wallet,3697,2374,758
let,76927,41140,24596
omg,11428,9507,1267
sq,195,119,35
somewher,17371,6557,7337
asparagu,8969,6257,1327
halv,870,512,176
adobado,135,114,7
seat,157815,88125,40758
stetson,210,178,13
tempera,145,87,24
impair,115,61,33
jeder,488,310,100
splendido,114,93,9
avoir,523,266,117
derbi,225,144,41
rainbow,3380,2294,603
ityou,236,177,32
moreth,562,359,88
sera,170,99,35
geeignet,121,75,13
alumni,137,98,17
restaurant,223,149,52
soccer,1248,819,224
cold,65846,23918,30767
mariah,105,74,23
exorbit,449,166,202
fut,197,114,38
crunch,8532,6145,963
correct,11233,4008,5286
do,23810,12706,7196
jb,174,101,35
henri,801,573,98
pitcher,6035,3622,1310
crowd,45221,27975,7692
twotop,188,86,53
chastis,113,30,69
gloppi,180,46,102
kj,274,175,56
bandera,183,128,22
craziest,110,73,25
topnotch,1740,1487,103
immens,1140,859,129
cider,2984,2213,307
superbowl,241,137,63
gamjatang,209,121,31
sicher,550,350,96
easi,28283,20041,3683
sponsor,238,154,54
knot,3957,2822,655
matti,224,180,26
panorama,104,68,19
asiatisch,188,131,21
donut,12896,9647,1541
thoughoveral,137,67,23
mucho,610,379,131
churrascaria,229,128,60
preconceiv,113,84,12
stepdad,132,80,33
ect,378,211,108
uninspir,1688,257,940
curl,462,283,115
portillo,493,315,103
wrapper,1495,748,463
quesadilla,10634,6424,2365
buck,20202,10980,5192
jung,362,223,63
seth,122,94,18
bringen,141,52,54
itwhen,266,128,101
deliveri,27337,13962,9754
meme,108,60,26
crock,317,156,112
chu,211,169,16
cosmet,128,68,28
shanghai,1428,852,249
mari,9692,6873,1432
fiesta,1096,649,257
abus,567,172,326
hunter,514,377,50
cultur,4087,2832,676
gai,957,667,130
goodservic,650,386,97
nigiri,6709,4281,1326
farro,337,233,53
yuppi,530,282,133
bev,150,97,26
derek,268,212,25
unrespons,131,18,89
birkdal,173,112,27
projector,378,264,46
decad,5917,4640,577
flauta,1009,673,168
perkin,167,46,76
well,285250,192033,50723
clot,141,105,16
yeast,362,209,87
mediums,185,121,29
val,220,131,68
tex,847,500,172
itso,487,256,145
afghan,422,309,62
devic,721,384,211
vor,2325,1291,549
woodland,150,109,17
beach,3832,2657,611
hawthorn,226,136,34
chi,1148,793,150
bloomin,112,47,30
billionair,132,93,24
flawless,1085,964,48
commenc,304,191,57
drastic,673,198,331
kaizen,263,176,48
bitei,177,129,26
tootsi,265,186,39
pmclose,106,86,7
nouveau,362,234,46
dover,248,182,33
discreetli,142,65,61
tipp,201,149,23
canneri,121,63,36
sofort,405,261,83
themth,898,524,207
getgo,207,88,89
perdu,210,155,29
boycot,116,28,78
muss,1709,942,436
argument,955,217,595
dran,104,43,32
gob,261,127,84
anywher,18676,12028,4354
sunshin,806,581,87
trim,948,518,240
multitud,493,329,85
crustacean,218,161,24
straw,3802,1291,1876
stellar,5296,3508,871
lag,594,274,156
cracker,4719,2841,1032
goodpric,138,92,14
laundri,601,380,141
barbqu,159,95,36
diamet,418,184,137
xl,639,362,139
luma,122,75,19
sugar,15413,9478,3178
joel,943,719,119
helluva,115,81,16
dank,609,388,143
hankerin,121,79,20
clich,511,320,102
toujour,876,643,84
melang,147,104,19
flat,12856,6575,3703
paragraph,307,206,52
vu,383,210,72
meanwhil,1232,237,788
cholesterol,410,268,53
closer,9659,6423,1658
doughnut,2654,1964,308
side,177639,110878,32680
lotteri,203,128,42
vari,6121,4273,653
ff,240,130,61
dekoriert,114,92,11
pest,157,46,93
vindaloo,1287,945,165
prawn,4125,2958,522
zippi,192,156,11
hr,4704,2121,1796
split,25266,17265,3899
bekannt,171,107,38
hobak,173,154,11
cela,364,219,51
more,35220,22315,6971
attent,80776,55644,12900
furiou,447,80,335
sambal,242,166,26
teai,156,97,28
meathead,129,67,42
nowher,4076,1423,1807
dinosaur,191,125,34
colicchio,249,156,55
monro,325,216,66
hardpress,139,103,17
supris,788,538,158
newport,195,134,36
trucker,144,89,21
footag,111,59,32
vinc,219,137,47
ehrlich,156,87,41
blond,2719,1142,1140
search,9493,6210,1845
street,47056,29653,9687
samich,102,74,13
woon,184,128,30
voluntarili,109,35,46
peruvian,1831,1434,175
jubile,118,90,15
tower,4297,2832,736
michelada,580,425,78
nchste,190,105,49
dare,2881,1754,757
studio,1283,859,227
helpfuli,172,134,11
cord,153,77,50
bro,1851,1030,469
next,133247,84675,27846
cotija,383,291,36
housei,172,115,34
starsi,861,408,150
shoddi,205,46,112
sunday,40467,26058,7739
komex,352,287,20
kurt,107,87,14
versatil,259,220,2
fineth,198,81,51
uhm,201,68,95
transplant,705,527,87
cone,3005,1963,584
pourov,127,108,5
tennesse,244,183,29
sayit,112,63,17
foodi,9589,6638,1699
hideou,261,61,147
ansprechend,244,156,48
skim,421,217,110
flash,1746,1012,442
epicentr,201,120,31
grazi,352,243,62
searsuck,119,78,18
forw,136,88,30
avondal,255,164,61
ipic,318,169,82
mp,193,138,22
cosmic,175,109,30
asad,119,84,23
werden,2348,1341,542
genoa,122,87,8
serverth,101,49,31
dainti,295,214,32
spun,204,137,43
hint,8834,5735,1681
roam,723,440,140
radish,2762,2001,279
eveningth,196,130,36
pucker,137,68,39
debt,112,55,38
mozz,582,385,84
chambord,222,161,30
buffetth,224,114,52
bunt,115,77,18
reve,103,64,15
hefe,445,275,113
chopstick,2190,1126,666
rob,1156,591,463
amateur,749,291,325
fork,8757,4478,2753
lesson,2394,864,1141
traum,124,113,5
godzilla,216,158,19
soil,160,75,67
poppin,359,253,36
copper,1095,774,152
abrupt,406,107,202
laterth,224,121,67
promis,7525,3721,2626
excurs,279,202,33
vote,1768,1084,425
sanctuari,197,134,41
rout,1882,1180,344
goodthi,414,287,56
bruyant,213,121,30
summeri,190,138,20
banh,4259,3055,479
minti,262,189,26
ass,7083,3458,2614
frill,1958,1432,164
mr,6396,4006,1410
delhi,225,147,45
heavenli,4375,3967,122
swedish,472,354,50
chico,181,123,28
booth,20944,11659,5141
gravlax,207,166,14
ventur,6094,4016,941
convers,17831,10431,4301
dvine,108,58,28
kleinen,807,544,126
gluttoni,496,381,29
grizzl,183,47,105
coq,210,143,31
huf,216,30,156
cop,845,343,377
cute,25640,18142,2869
home,92686,58063,20740
bistro,7185,5050,1033
wildfish,122,93,13
chop,22702,14750,4252
life,25600,16522,6581
gripe,2825,1930,319
mislead,1219,352,624
mic,594,360,146
oppress,115,61,34
unmelt,181,31,121
peasant,185,102,55
strangest,238,63,119
kellner,1047,406,417
reallli,138,80,32
hitormiss,304,115,67
abgerumt,102,27,47
notif,190,53,102
whod,283,170,70
shadi,1558,739,567
rocker,148,99,28
put,78835,37212,28319
stori,9315,4564,3267
allegro,102,54,25
silenc,682,289,289
letdown,967,243,443
saltyi,121,33,43
ooo,110,76,15
guacomol,148,97,30
shumai,662,407,129
poorli,4545,557,3315
hurri,6651,2978,2119
feat,569,418,81
motel,575,218,259
jacki,469,340,75
incompet,1309,77,1130
crabmeat,448,278,73
brasseur,116,55,27
sf,1660,1158,229
insuffici,160,42,81
uncut,136,59,53
passt,346,234,51
gemtlich,1274,951,112
firstli,911,400,355
richer,386,277,43
guinea,256,200,23
stem,769,334,282
alleyway,132,94,18
recomend,710,552,96
isst,115,75,19
cinco,504,266,146
rightw,157,92,39
secondari,306,172,67
mvp,101,87,7
view,28841,19265,4586
detox,198,154,16
serbian,127,105,15
shrunk,279,67,132
altern,6721,4177,1181
clinton,120,75,27
flap,283,172,60
pokemon,176,123,29
placether,122,65,33
kamen,615,277,223
indien,125,99,12
octoberfest,116,78,18
rough,2910,1800,598
jeun,126,70,23
observ,2742,1273,922
er,2200,1078,712
salz,132,51,56
applesauc,240,145,44
gourmand,258,178,30
forg,122,70,36
kyle,435,348,70
merced,102,56,32
coolth,216,134,29
chedder,106,62,22
worthless,279,57,192
estim,1393,654,529
auction,170,78,59
wrote,3550,1580,1520
bernais,326,242,40
lesli,293,200,47
anybodi,2076,1095,741
welland,108,82,20
dlice,157,146,5
chicagostyl,318,218,48
yelp,49084,31037,11238
floral,522,372,55
bam,808,596,99
gazillion,198,142,20
vegan,24656,18893,2826
omelett,10615,6927,1837
sont,3525,2500,342
hundr,2976,1631,902
manch,163,90,37
limpress,125,65,29
restless,132,49,61
drauen,584,386,85
besonder,383,198,84
exec,112,75,21
mainten,803,387,280
heed,369,143,176
foodiv,166,110,32
sow,279,184,52
scarc,651,249,248
ummm,710,227,353
bottomlin,119,59,36
area,128638,82592,21974
cari,147,95,28
midrar,102,51,38
wound,1181,583,394
sud,229,167,37
creol,840,593,119
strip,58378,40622,8482
recov,771,416,236
colin,142,119,13
sop,879,622,135
ink,1020,685,153
dayth,573,383,91
yumo,129,117,1
courag,338,212,80
googl,2198,1327,574
miga,158,106,33
misplac,220,82,106
song,4795,2914,1022
j,1622,1095,289
hmmm,1299,486,461
harmoni,612,481,61
amazingthey,105,92,2
casey,511,356,83
sind,6257,4076,1086
produc,4560,2931,955
guadalajara,255,170,43
triedth,109,77,12
seitan,541,386,66
proxim,1602,835,356
blunt,313,133,128
extraordinair,161,124,10
dub,318,206,54
streetcar,279,182,35
justeatca,101,42,46
ver,301,181,63
vacuum,381,119,191
daunt,326,262,26
cabbag,8671,5472,1641
sammi,2514,1693,414
holler,236,87,105
pathet,2012,223,1594
rien,657,299,161
coventri,347,227,76
outit,264,152,64
ballroom,278,211,26
shovel,425,273,90
phone,21940,7146,11872
sooooo,3526,2719,514
vietnam,823,546,156
kyoto,294,158,83
kombucha,237,205,16
ooey,355,285,26
paprika,784,512,143
inver,107,83,11
vista,348,217,87
soooooo,1509,1161,229
stracciatella,104,85,7
perman,975,561,270
re,601,336,163
raucou,184,115,27
dutch,714,547,86
undon,103,37,48
vist,263,176,62
dcouvert,259,228,5
avers,241,146,38
cityscap,185,139,23
mer,301,202,40
gush,422,286,78
overhyp,872,221,365
display,6763,4077,1466
shoulda,204,68,92
understood,2225,951,886
breezi,254,193,22
mabel,209,144,28
mediterranean,6869,5072,871
fattier,191,120,30
ly,230,168,24
succe,192,134,23
creeper,117,64,26
veganvegetarian,428,328,48
myselfi,146,79,34
pancak,35624,24184,5483
embarrassingli,186,84,82
team,7985,5636,1408
oldi,375,249,54
portion,127825,83607,19627
paratha,386,267,60
rei,436,241,99
yew,129,90,15
hog,1036,769,131
spago,460,313,64
geffnet,139,84,27
ether,145,103,23
wobei,277,148,73
send,9393,2879,4963
neatli,632,451,93
toothey,207,161,13
availableth,129,85,21
gabbi,198,108,50
examin,345,120,175
brim,1014,726,134
closet,492,260,151
splash,1379,753,366
protect,617,304,219
cru,143,100,18
rode,274,179,53
nevertheless,1745,1100,239
cutest,664,591,14
mindset,209,97,59
carn,13761,9656,2297
kellnerin,188,42,95
birthday,34843,22442,7915
unsweet,132,72,36
fellow,5541,3517,1144
smart,2745,1630,740
toddler,2019,1147,569
imho,852,495,158
coca,518,354,87
stuttgart,2528,1883,335
harlem,167,103,31
puck,1513,697,525
alberta,108,74,15
wegen,387,201,85
the,170935,102406,35393
teenag,2295,979,929
vegetarianvegan,488,356,51
girli,556,387,62
crouton,2578,1388,719
fern,177,122,18
adopt,349,225,51
veranda,142,86,24
camaron,646,503,79
depend,9776,6216,1208
leaner,177,112,19
rt,225,129,54
franklin,182,118,27
hoover,490,398,32
gewartet,114,31,62
extens,10137,7679,787
goldi,112,71,25
valeri,111,92,11
fourth,1931,1013,608
intact,361,217,85
tester,181,118,27
zeppoli,175,127,28
toss,6439,3139,2128
ma,998,578,217
saen,213,81,71
rolli,172,106,33
eastern,5342,3668,868
flavorth,633,344,169
perfecti,304,269,10
alongsid,1344,965,166
eigenen,113,75,24
yong,2714,1550,528
nobrain,262,191,34
dealt,1018,402,468
brace,288,166,76
demarco,133,95,25
mayfield,175,103,39
strt,109,65,22
goodsiz,327,225,20
burgersth,105,61,19
apprehens,742,578,77
plow,149,85,34
manni,277,220,41
linei,132,74,29
assess,528,230,166
ziti,948,617,178
fiction,173,128,18
unglaublich,164,99,43
fanci,19102,13244,2359
pointer,188,128,28
abbey,101,63,17
pepperjack,264,186,21
succumb,210,123,52
wellon,120,74,17
cleanli,4073,1907,1344
calzon,4581,3098,920
brunswick,333,208,63
oishii,105,86,7
imbiss,221,135,39
amp,380,233,74
toward,10193,5415,2721
drier,483,233,120
richmond,1251,760,224
wont,5347,1988,2628
excellentservic,121,88,13
vom,1995,1175,444
true,17128,11839,2998
ditto,266,157,60
sicilian,1552,1172,197
slowcook,225,163,32
elsei,246,114,87
wagu,160,116,27
pray,774,357,296
ingest,368,188,126
feather,315,143,117
stow,135,88,27
roulad,110,88,14
r,2467,1525,576
frame,1487,859,374
placemi,313,198,73
hive,134,76,40
pricier,2696,1967,212
glow,1578,857,416
consid,35772,18763,9134
auch,13702,8317,2808
oomph,236,116,44
qualityi,208,109,67
present,33895,21547,6487
contrari,778,455,178
missi,142,77,43
element,2613,1650,406
mixologist,504,440,30
no,27244,10481,12153
place,1025952,656013,212711
cruis,790,479,167
kaffir,134,113,8
winterlici,1444,771,303
bank,4007,2411,1042
madeira,148,104,12
jjiga,214,161,23
innenstadt,149,111,20
parfoi,153,104,7
slimi,1459,324,912
itfood,180,91,46
humid,618,319,186
weinstub,141,111,15
inattent,2126,334,1342
frequenc,161,106,28
neon,1466,955,261
baltimor,231,168,28
dearli,236,156,46
portionsth,124,81,18
redefin,125,94,18
oct,307,162,112
halb,311,106,132
cathedr,111,87,2
vs,5139,3031,1030
businessmen,151,99,21
wanton,371,232,65
jami,770,470,168
unoccupi,136,40,80
pr,472,290,111
antonio,635,471,104
wheat,5918,3895,980
compd,360,124,172
readili,692,416,146
muslim,185,124,26
attentivew,118,90,6
handrol,637,412,115
bound,1189,795,193
ownersmanag,123,51,50
complac,113,23,74
hoo,314,234,36
ftw,244,213,9
melodi,188,142,24
taylor,771,569,99
holli,368,274,55
youngest,671,384,169
overth,137,80,34
mofo,110,69,26
freshcut,132,100,12
dortmund,121,82,21
et,18883,13162,2226
downright,1585,610,686
industri,6680,2999,2721
s,14332,8444,3256
canada,2874,1974,453
adio,120,34,76
guss,189,65,90
saltyth,180,62,63
kosher,977,653,196
zoo,688,364,175
late,46867,27926,10231
ut,139,79,41
miss,47382,26969,11039
wedg,5429,3318,1145
gm,1580,907,578
frigid,197,121,46
broaden,127,98,11
gekocht,199,124,45
must,71649,53465,10642
saddest,269,32,198
coverag,182,88,48
scheint,255,99,88
kickin,156,123,12
kiss,1383,930,270
angenehm,818,663,59
alberto,183,146,20
randomli,1736,1135,356
worst,34526,2230,29219
nois,6508,3533,1499
newmarket,306,216,51
warm,50433,31927,10728
vert,389,265,50
tion,208,111,45
berkeley,107,79,10
leah,107,90,13
betcha,107,87,7
ryerson,240,166,17
preserv,2058,1432,284
sunnyslop,123,96,8
servicio,194,110,73
foodwis,536,284,97
relev,388,197,112
farmtot,179,137,19
thickest,158,101,27
clubhous,294,165,69
spoke,6824,2377,3630
cleavag,106,40,38
csn,135,108,12
birth,272,162,64
gegen,245,125,63
event,15752,10374,3037
patti,15760,8489,3937
goodim,161,112,19
chicagoland,119,80,22
kensington,1096,790,101
luci,763,517,117
ikea,688,381,155
factori,4714,2685,1100
laden,1640,896,471
bday,2379,1515,523
suburbia,151,88,30
blown,6535,4533,651
bimbimbap,153,84,33
were,27647,15378,8071
wellknown,397,277,52
huntersvil,345,231,63
dunkel,263,148,47
readabl,184,93,26
juke,381,252,58
vient,164,94,26
riceth,351,180,91
chinesisch,158,96,45
dlicieux,671,591,12
empfehlen,1325,1043,146
caper,2088,1475,271
pablo,226,162,38
tragedi,148,65,62
poop,550,169,285
busi,139843,74958,41941
distress,239,91,104
myselfth,124,85,19
meoveral,121,65,19
cross,4322,2277,1244
limit,22036,12029,4969
clog,750,402,203
throat,1068,499,386
tomo,252,170,49
statt,245,100,89
rudest,654,45,570
duct,186,68,65
vielleicht,724,357,191
sonni,342,235,53
ecstasi,224,192,12
triniti,229,167,29
mortal,136,98,22
lb,5068,3237,974
even,312907,164056,104857
beurr,351,275,32
outta,1102,593,315
schwbisch,594,455,49
refresh,13756,11308,721
goofi,268,167,56
unpleasantli,169,36,97
chock,628,432,103
legend,1137,685,215
yourself,6264,4104,1222
waitor,293,153,97
durian,588,418,53
spitz,125,106,6
deriv,205,127,46
pavlova,120,100,8
truffl,16497,12236,1558
couscou,1276,925,151
orderth,567,279,183
jinya,381,284,47
vineyard,148,112,22
vehicl,750,372,245
